# BOSCH-DARAB extract file created 30.01.2026 19:59:50
#
# Data from source file "C:\Bosch\WinDarab\Data\DataFiles\FK07_10_12_2025 Outing 34 SCCA AutoX.bmsbin"
# where 0.000 <= xtime <= 4890.020
# 
xtime    [s]	xdist    [m]	az       [g]	Coolant_Temperature[°C]	Engine_Speed[rpm]	Fuel_Pressure[kPa]	gps_speed[km/h]	lapdist  [m]	laptime  [s]	str_whl_angle[°]	Throttle_Position[%]
          0.000	            0.0	       0.995092	           20.6	              0	          345.0	           0.00	            0.0	          0.000	         197.45	           20.0
          0.100	            0.0	       0.992161	           20.6	              0	          343.6	           0.00	            0.0	          0.100	         197.50	           20.0
          0.200	            0.0	       0.996112	           20.6	              0	          342.4	           0.00	            0.0	          0.200	         197.55	           19.9
          0.300	            0.0	       0.996877	           20.6	              0	          342.9	           0.00	            0.0	          0.300	         197.45	           20.0
          0.400	            0.0	       0.992543	           20.6	              0	          344.1	           0.00	            0.0	          0.400	         197.45	           19.9
          0.500	            0.0	       0.994328	           20.6	              0	          343.9	           0.00	            0.0	          0.500	         197.50	           19.9
          0.600	            0.0	       0.990759	           20.5	              0	          342.6	           0.00	            0.0	          0.600	         197.45	           19.9
          0.700	            0.0	       0.990249	           20.5	              0	          342.7	           0.00	            0.0	          0.700	         197.50	           20.0
          0.800	            0.0	       0.991523	           20.6	              0	          343.1	           0.00	            0.0	          0.800	         197.45	           19.9
          0.900	            0.0	       0.992671	           20.6	              0	          343.5	           0.00	            0.0	          0.900	         197.55	           19.9
          1.000	            0.0	       0.992543	           20.5	              0	          343.3	           0.00	            0.0	          1.000	         197.45	           19.9
          1.100	            0.0	       0.993690	           20.5	              0	          342.3	           0.00	            0.0	          1.100	         197.50	           19.9
          1.200	            0.0	       0.991651	           20.5	              0	          343.3	           0.00	            0.0	          1.200	         197.45	           19.9
          1.300	            0.0	       0.993308	           20.5	              0	          343.7	           0.00	            0.0	          1.300	         197.45	           19.9
          1.400	            0.0	       0.995857	           20.6	              0	          343.7	           0.00	            0.0	          1.400	         197.45	           20.0
          1.500	            0.0	       0.987954	           20.6	              0	          342.6	           0.00	            0.0	          1.500	         197.50	           20.0
          1.600	            0.0	       0.991651	           20.6	              0	          342.3	           0.00	            0.0	          1.600	         197.45	           19.9
          1.700	            0.0	       0.997259	           20.6	              0	          343.6	           0.00	            0.0	          1.700	         197.43	           20.0
          1.800	            0.0	       0.993053	           20.5	              0	          343.8	           0.00	            0.0	          1.800	         197.43	           19.9
          1.900	            0.0	       1.004397	           20.5	              0	          343.2	           0.00	            0.0	          1.900	         197.45	           20.0
          2.000	            0.0	       0.994328	           20.5	              0	          342.6	           0.00	            0.0	          2.000	         197.45	           19.9
          2.100	            0.0	       0.985787	           20.5	              0	          343.5	           0.00	            0.0	          2.100	         197.45	           19.9
          2.200	            0.0	       0.994328	           20.6	              0	          343.4	           0.00	            0.0	          2.200	         197.43	           19.9
          2.300	            0.0	       0.992925	           20.6	              0	          343.1	           0.00	            0.0	          2.300	         197.45	           19.9
          2.400	            0.0	       0.989739	           20.6	              0	          342.7	           0.00	            0.0	          2.400	         197.45	           20.0
          2.500	            0.0	       0.995092	           20.6	              0	          342.4	           0.00	            0.0	          2.500	         197.43	           19.9
          2.600	            0.0	       0.991141	           20.6	              0	          343.6	           0.00	            0.0	          2.600	         197.43	           19.9
          2.700	            0.0	       0.996494	           20.6	              0	          343.3	           0.00	            0.0	          2.700	         197.43	           19.9
          2.800	            0.0	       0.995092	           20.7	              0	          342.3	           0.00	            0.0	          2.800	         197.43	           19.9
          2.900	            0.0	       0.994837	           20.7	              0	          342.9	           0.00	            0.0	          2.900	         197.43	           19.9
          3.000	            0.0	       0.994073	           20.6	              0	          343.0	           0.00	            0.0	          3.000	         197.45	           20.0
          3.100	            0.0	       0.996622	           20.6	              0	          342.6	           0.00	            0.0	          3.100	         197.43	           20.0
          3.200	            0.0	       0.992161	           20.6	              0	          341.8	           0.00	            0.0	          3.200	         197.43	           20.0
          3.300	            0.0	       0.997897	           20.6	              0	          340.9	           0.00	            0.0	          3.300	         197.45	           19.9
          3.400	            0.0	       0.992925	           20.6	              0	          342.2	           0.00	            0.0	          3.400	         197.45	           19.9
          3.500	            0.0	       0.986935	           20.6	              0	          342.5	           0.00	            0.0	          3.500	         197.45	           19.9
          3.600	            0.0	       0.995092	           20.6	              0	          341.6	           0.00	            0.0	          3.600	         197.40	           19.9
